subject_id,split
3,train
12,train
21,train
25,train
31,train
32,train
43,train
59,train
61,train
62,train
64,train
68,train
71,train
73,train
83,train
85,train
97,train
99,train
101,train
103,train
105,train
109,train
115,train
117,train
124,train
130,train
132,train
133,train
138,train
143,train
144,train
148,train
150,train
154,train
156,train
164,train
170,train
171,train
174,train
175,train
177,train
178,train
179,train
184,train
186,train
188,train
191,train
199,train
203,train
209,train
211,train
213,train
221,train
222,train
234,train
236,train
238,train
241,train
243,train
261,train
265,train
268,train
269,train
270,train
274,train
275,train
279,train
281,train
283,train
287,train
290,train
298,train
303,train
313,train
314,train
321,train
323,train
325,train
326,train
328,train
329,train
330,train
333,train
339,train
346,train
347,train
350,train
351,train
353,train
360,train
366,train
370,train
379,train
384,train
388,train
391,train
395,train
397,train
400,train
406,train
414,train
418,train
420,train
422,train
424,train
425,train
429,train
433,train
436,train
439,train
443,train
445,train
448,train
449,train
450,train
453,train
454,train
456,train
461,train
462,train
468,train
471,train
472,train
477,train
480,train
482,train
485,train
487,train
492,train
494,train
498,train
501,train
502,train
507,train
515,train
518,train
523,train
528,train
533,train
543,train
546,train
557,train
559,train
565,train
569,train
571,train
576,train
577,train
580,train
585,train
587,train
588,train
591,train
592,train
596,train
603,train
605,train
606,train
622,train
625,train
627,train
629,train
631,train
634,train
636,train
653,train
654,train
665,train
667,train
668,train
670,train
671,train
672,train
679,train
690,train
705,train
707,train
709,train
711,train
719,train
720,train
721,train
723,train
726,train
729,train
731,train
733,train
734,train
735,train
738,train
746,train
747,train
750,train
754,train
768,train
771,train
772,train
773,train
776,train
779,train
781,train
782,train
785,train
787,train
788,train
792,train
793,train
794,train
801,train
805,train
813,train
816,train
818,train
827,train
840,train
849,train
852,train
854,train
859,train
863,train
867,train
870,train
875,train
884,train
885,train
886,train
888,train
890,train
895,train
897,train
902,train
903,train
904,train
908,train
909,train
913,train
914,train
919,train
921,train
922,train
923,train
924,train
929,train
932,train
936,train
937,train
938,train
945,train
949,train
952,train
956,train
960,train
961,train
963,train
971,train
980,train
984,train
985,train
994,train
998,train
1000,train
1004,train
1006,train
1016,train
1017,train
1021,train
1026,train
1028,train
1032,train
1036,train
1038,train
1044,train
1045,train
1049,train
1056,train
1066,train
1068,train
1079,train
1084,train
1085,train
1086,train
1088,train
1092,train
1093,train
1094,train
1096,train
1098,train
1103,train
1105,train
1106,train
1118,train
1124,train
1125,train
1128,train
1133,train
1139,train
1141,train
1144,train
1163,train
1165,train
1171,train
1173,train
1174,train
1182,train
1184,train
1187,train
1192,train
1195,train
1197,train
1203,train
1206,train
1207,train
1214,train
1222,train
1223,train
1224,train
1226,train
1228,train
1232,train
1233,train
1241,train
1244,train
1260,train
1264,train
1265,train
1269,train
1271,train
1272,train
1279,train
1282,train
1284,train
1287,train
1289,train
1293,train
1299,train
1301,train
1309,train
1313,train
1314,train
1316,train
1322,train
1326,train
1335,train
1337,train
1339,train
1354,train
1357,train
1358,train
1363,train
1367,train
1368,train
1374,train
1375,train
1377,train
1387,train
1389,train
1390,train
1395,train
1409,train
1419,train
1423,train
1439,train
1441,train
1443,train
1453,train
1459,train
1467,train
1478,train
1479,train
1485,train
1486,train
1500,train
1502,train
1503,train
1515,train
1517,train
1521,train
1524,train
1527,train
1535,train
1537,train
1538,train
1539,train
1541,train
1543,train
1546,train
1550,train
1551,train
1556,train
1559,train
1563,train
1565,train
1568,train
1569,train
1575,train
1578,train
1580,train
1588,train
1593,train
1598,train
1601,train
1604,train
1606,train
1610,train
1611,train
1615,train
1620,train
1627,train
1634,train
1637,train
1641,train
1645,train
1656,train
1679,train
1685,train
1692,train
1694,train
1695,train
1696,train
1704,train
1708,train
1709,train
1714,train
1724,train
1725,train
1729,train
1732,train
1738,train
1742,train
1757,train
1758,train
1763,train
1766,train
1767,train
1771,train
1778,train
1782,train
1784,train
1785,train
1788,train
1793,train
1799,train
1800,train
1807,train
1809,train
1813,train
1816,train
1818,train
1822,train
1829,train
1832,train
1833,train
1840,train
1844,train
1847,train
1853,train
1855,train
1860,train
1862,train
1869,train
1872,train
1873,train
1885,train
1886,train
1888,train
1890,train
1892,train
1900,train
1902,train
1912,train
1913,train
1915,train
1918,train
1919,train
1923,train
1928,train
1932,train
1937,train
1944,train
1945,train
1946,train
1948,train
1956,train
1964,train
1969,train
1970,train
1973,train
1979,train
1980,train
1982,train
1985,train
1988,train
1990,train
1991,train
1992,train
1995,train
1996,train
1997,train
2001,train
2005,train
2006,train
2012,train
2022,train
2025,train
2033,train
2040,train
2042,train
2049,train
2051,train
2064,train
2071,train
2079,train
2081,train
2082,train
2090,train
2092,train
2096,train
2098,train
2099,train
2103,train
2104,train
2113,train
2114,train
2116,train
2123,train
2124,train
2135,train
2144,train
2148,train
2149,train
2150,train
2151,train
2159,train
2165,train
2167,train
2171,train
2176,train
2177,train
2178,train
2187,train
2200,train
2201,train
2207,train
2208,train
2212,train
2214,train
2215,train
2223,train
2224,train
2225,train
2228,train
2230,train
2234,train
2237,train
2238,train
2245,train
2262,train
2263,train
2264,train
2265,train
2272,train
2284,train
2289,train
2291,train
2298,train
2304,train
2310,train
2317,train
2318,train
2322,train
2330,train
2337,train
2338,train
2343,train
2344,train
2345,train
2346,train
2348,train
2349,train
2353,train
2355,train
2356,train
2361,train
2362,train
2369,train
2372,train
2373,train
2374,train
2378,train
2385,train
2386,train
2387,train
2392,train
2395,train
2401,train
2403,train
2406,train
2415,train
2425,train
2427,train
2428,train
2436,train
2456,train
2460,train
2464,train
2466,train
2467,train
2470,train
2473,train
2476,train
2477,train
2479,train
2482,train
2487,train
2488,train
2489,train
2492,train
2493,train
2497,train
2502,train
2506,train
2508,train
2512,train
2514,train
2522,train
2534,train
2538,train
2540,train
2544,train
2547,train
2549,train
2558,train
2569,train
2573,train
2574,train
2592,train
2600,train
2603,train
2613,train
2617,train
2619,train
2628,train
2635,train
2637,train
2641,train
2642,train
2650,train
2652,train
2658,train
2666,train
2667,train
2674,train
2679,train
2682,train
2683,train
2688,train
2703,train
2710,train
2724,train
2735,train
2739,train
2743,train
2747,train
2754,train
2756,train
2757,train
2758,train
2759,train
2762,train
2763,train
2765,train
2769,train
2777,train
2783,train
2791,train
2793,train
2797,train
2799,train
2802,train
2805,train
2809,train
2810,train
2819,train
2821,train
2827,train
2828,train
2840,train
2859,train
2862,train
2872,train
2874,train
2881,train
2882,train
2894,train
2896,train
2899,train
2900,train
2904,train
2905,train
2906,train
2907,train
2912,train
2915,train
2921,train
2927,train
2934,train
2937,train
2938,train
2943,train
2944,train
2948,train
2952,train
2957,train
2958,train
2962,train
2964,train
2966,train
2968,train
2969,train
2971,train
2974,train
2975,train
2981,train
2986,train
2990,train
2993,train
3002,train
3006,train
3011,train
3018,train
3023,train
3029,train
3030,train
3036,train
3038,train
3040,train
3044,train
3045,train
3047,train
3049,train
3051,train
3052,train
3056,train
3065,train
3070,train
3073,train
3078,train
3080,train
3081,train
3084,train
3087,train
3100,train
3102,train
3103,train
3115,train
3116,train
3132,train
3133,train
3137,train
3150,train
3151,train
3155,train
3156,train
3161,train
3165,train
3172,train
3174,train
3175,train
3178,train
3184,train
3196,train
3203,train
3204,train
3205,train
3210,train
3218,train
3220,train
3222,train
3225,train
3236,train
3239,train
3240,train
3241,train
3242,train
3245,train
3248,train
3250,train
3254,train
3261,train
3265,train
3272,train
3276,train
3277,train
3287,train
3290,train
3297,train
3298,train
3300,train
3301,train
3302,train
3304,train
3306,train
3310,train
3318,train
3325,train
3326,train
3327,train
3330,train
3334,train
3335,train
3340,train
3342,train
3344,train
3356,train
3361,train
3362,train
3365,train
3370,train
3377,train
3386,train
3389,train
3390,train
3392,train
3393,train
3394,train
3395,train
3399,train
3417,train
3421,train
3424,train
3426,train
3430,train
3436,train
3440,train
3441,train
3442,train
3456,train
3457,train
3465,train
3466,train
3470,train
3475,train
3477,train
3480,train
3483,train
3485,train
3489,train
3490,train
3491,train
3506,train
3509,train
3513,train
3516,train
3533,train
3538,train
3547,train
3549,train
3552,train
3555,train
3559,train
3560,train
3565,train
3566,train
3569,train
3572,train
3577,train
3588,train
3590,train
3593,train
3600,train
3601,train
3616,train
3619,train
3620,train
3628,train
3637,train
3639,train
3641,train
3644,train
3647,train
3649,train
3659,train
3663,train
3675,train
3677,train
3678,train
3685,train
3694,train
3695,train
3703,train
3705,train
3706,train
3710,train
3716,train
3718,train
3722,train
3725,train
3729,train
3734,train
3740,train
3742,train
3743,train
3744,train
3747,train
3751,train
3760,train
3767,train
3768,train
3778,train
3786,train
3787,train
3791,train
3792,train
3793,train
3794,train
3798,train
3800,train
3804,train
3810,train
3811,train
3812,train
3818,train
3835,train
3836,train
3840,train
3841,train
3855,train
3866,train
3867,train
3871,train
3879,train
3887,train
3888,train
3891,train
3893,train
3895,train
3896,train
3897,train
3899,train
3911,train
3912,train
3913,train
3914,train
3917,train
3920,train
3921,train
3924,train
3926,train
3928,train
3929,train
3932,train
3935,train
3940,train
3949,train
3952,train
3957,train
3964,train
3965,train
3969,train
3970,train
3974,train
3977,train
3982,train
3984,train
3986,train
3989,train
3993,train
3995,train
3998,train
4001,train
4002,train
4003,train
4004,train
4005,train
4006,train
4012,train
4013,train
4016,train
4017,train
4018,train
4034,train
4045,train
4058,train
4066,train
4067,train
4071,train
4072,train
4073,train
4074,train
4084,train
4085,train
4096,train
4098,train
4100,train
4103,train
4104,train
4105,train
4109,train
4112,train
4113,train
4130,train
4133,train
4136,train
4137,train
4140,train
4145,train
4148,train
4152,train
4159,train
4169,train
4171,train
4175,train
4183,train
4185,train
4187,train
4191,train
4208,train
4216,train
4228,train
4234,train
4235,train
4246,train
4248,train
4252,train
4254,train
4259,train
4260,train
4264,train
4268,train
4269,train
4270,train
4273,train
4275,train
4290,train
4292,train
4300,train
4303,train
4316,train
4318,train
4323,train
4324,train
4326,train
4329,train
4332,train
4336,train
4338,train
4344,train
4346,train
4348,train
4356,train
4357,train
4359,train
4368,train
4369,train
4374,train
4377,train
4378,train
4383,train
4388,train
4390,train
4392,train
4397,train
4401,train
4403,train
4405,train
4406,train
4407,train
4409,train
4410,train
4413,train
4416,train
4420,train
4421,train
4422,train
4424,train
4429,train
4430,train
4431,train
4433,train
4445,train
4448,train
4449,train
4454,train
4456,train
4457,train
4459,train
4464,train
4465,train
4480,train
4484,train
4490,train
4494,train
4497,train
4504,train
4512,train
4516,train
4527,train
4533,train
4536,train
4550,train
4562,train
4564,train
4565,train
4570,train
4575,train
4576,train
4577,train
4579,train
4587,train
4592,train
4593,train
4594,train
4597,train
4598,train
4599,train
4600,train
4602,train
4619,train
4633,train
4637,train
4641,train
4649,train
4651,train
4653,train
4655,train
4656,train
4657,train
4665,train
4669,train
4674,train
4676,train
4677,train
4679,train
4688,train
4690,train
4695,train
4696,train
4699,train
4700,train
4705,train
4712,train
4727,train
4732,train
4737,train
4738,train
4743,train
4748,train
4749,train
4753,train
4759,train
4765,train
4766,train
4784,train
4785,train
4786,train
4787,train
4791,train
4792,train
4795,train
4797,train
4798,train
4802,train
4803,train
4814,train
4816,train
4817,train
4828,train
4835,train
4842,train
4844,train
4862,train
4864,train
4866,train
4871,train
4872,train
4873,train
4874,train
4877,train
4879,train
4883,train
4897,train
4900,train
4901,train
4902,train
4903,train
4904,train
4905,train
4906,train
4907,train
4910,train
4911,train
4918,train
4926,train
4931,train
4939,train
4948,train
4950,train
4957,train
4958,train
4961,train
4962,train
4963,train
4965,train
4968,train
4969,train
4978,train
4980,train
4992,train
4995,train
5000,train
5003,train
5004,train
5006,train
5014,train
5021,train
5026,train
5029,train
5030,train
5031,train
5033,train
5035,train
5037,train
5039,train
5047,train
5050,train
5054,train
5060,train
5065,train
5072,train
5074,train
5077,train
5080,train
5091,train
5097,train
5099,train
5102,train
5104,train
5107,train
5112,train
5113,train
5118,train
5127,train
5129,train
5137,train
5138,train
5145,train
5147,train
5158,train
5164,train
5166,train
5170,train
5171,train
5188,train
5190,train
5191,train
5194,train
5195,train
5198,train
5205,train
5213,train
5215,train
5223,train
5224,train
5231,train
5236,train
5237,train
5239,train
5242,train
5250,train
5254,train
5255,train
5259,train
5264,train
5268,train
5272,train
5275,train
5277,train
5282,train
5285,train
5289,train
5310,train
5313,train
5321,train
5327,train
5328,train
5348,train
5349,train
5351,train
5360,train
5362,train
5365,train
5366,train
5367,train
5369,train
5370,train
5373,train
5376,train
5377,train
5382,train
5383,train
5385,train
5391,train
5393,train
5395,train
5398,train
5400,train
5407,train
5410,train
5417,train
5428,train
5430,train
5445,train
5453,train
5454,train
5455,train
5461,train
5470,train
5471,train
5478,train
5482,train
5487,train
5494,train
5496,train
5498,train
5502,train
5503,train
5509,train
5516,train
5521,train
5525,train
5527,train
5532,train
5535,train
5536,train
5537,train
5542,train
5543,train
5544,train
5545,train
5551,train
5556,train
5562,train
5570,train
5577,train
5585,train
5589,train
5593,train
5594,train
5596,train
5603,train
5604,train
5606,train
5608,train
5610,train
5616,train
5619,train
5623,train
5626,train
5628,train
5629,train
5631,train
5634,train
5638,train
5639,train
5642,train
5643,train
5646,train
5647,train
5662,train
5664,train
5666,train
5668,train
5678,train
5679,train
5680,train
5686,train
5691,train
5692,train
5696,train
5698,train
5701,train
5709,train
5726,train
5729,train
5731,train
5737,train
5740,train
5748,train
5749,train
5752,train
5761,train
5762,train
5766,train
5768,train
5772,train
5774,train
5775,train
5778,train
5783,train
5789,train
5790,train
5791,train
5794,train
5797,train
5799,train
5801,train
5802,train
5806,train
5817,train
5819,train
5820,train
5824,train
5832,train
5833,train
5834,train
5839,train
5841,train
5845,train
5847,train
5863,train
5865,train
5880,train
5882,train
5885,train
5904,train
5905,train
5909,train
5913,train
5921,train
5922,train
5933,train
5937,train
5942,train
5944,train
5948,train
5949,train
5957,train
5958,train
5960,train
5963,train
5967,train
5969,train
5975,train
5979,train
5986,train
5989,train
5990,train
5993,train
5995,train
6001,train
6002,train
6003,train
6005,train
6006,train
6008,train
6010,train
6012,train
6016,train
6024,train
6026,train
6049,train
6060,train
6061,train
6070,train
6075,train
6083,train
6086,train
6089,train
6093,train
6094,train
6100,train
6105,train
6109,train
6110,train
6112,train
6115,train
6116,train
6128,train
6133,train
6137,train
6147,train
6153,train
6155,train
6166,train
6176,train
6186,train
6190,train
6196,train
6201,train
6203,train
6206,train
6212,train
6214,train
6215,train
6216,train
6224,train
6246,train
6253,train
6254,train
6256,train
6258,train
6262,train
6268,train
6272,train
6276,train
6278,train
6279,train
6282,train
6283,train
6284,train
6287,train
6288,train
6291,train
6294,train
6313,train
6317,train
6321,train
6331,train
6334,train
6335,train
6344,train
6353,train
6362,train
6368,train
6378,train
6383,train
6387,train
6396,train
6397,train
6398,train
6400,train
6414,train
6423,train
6424,train
6441,train
6445,train
6464,train
6469,train
6477,train
6478,train
6480,train
6482,train
6491,train
6495,train
6497,train
6505,train
6510,train
6511,train
6512,train
6513,train
6516,train
6518,train
6519,train
6528,train
6534,train
6541,train
6543,train
6546,train
6552,train
6553,train
6558,train
6567,train
6569,train
6575,train
6576,train
6580,train
6583,train
6588,train
6598,train
6601,train
6604,train
6605,train
6606,train
6615,train
6623,train
6624,train
6625,train
6630,train
6632,train
6633,train
6636,train
6637,train
6647,train
6653,train
6655,train
6658,train
6663,train
6668,train
6669,train
6686,train
6689,train
6692,train
6694,train
6695,train
6697,train
6699,train
6700,train
6703,train
6704,train
6707,train
6713,train
6715,train
6718,train
6720,train
6723,train
6725,train
6734,train
6739,train
6749,train
6756,train
6758,train
6759,train
6760,train
6767,train
6773,train
6779,train
6783,train
6787,train
6799,train
6802,train
6803,train
6809,train
6810,train
6815,train
6823,train
6824,train
6829,train
6830,train
6833,train
6838,train
6845,train
6850,train
6856,train
6870,train
6873,train
6874,train
6878,train
6880,train
6883,train
6884,train
6889,train
6891,train
6892,train
6893,train
6894,train
6901,train
6904,train
6906,train
6911,train
6914,train
6916,train
6917,train
6920,train
6922,train
6923,train
6927,train
6930,train
6933,train
6939,train
6942,train
6944,train
6946,train
6950,train
6951,train
6952,train
6957,train
6958,train
6962,train
6973,train
6976,train
6978,train
6979,train
6983,train
6999,train
7002,train
7008,train
7009,train
7012,train
7029,train
7031,train
7039,train
7042,train
7052,train
7065,train
7066,train
7068,train
7075,train
7077,train
7080,train
7087,train
7088,train
7093,train
7101,train
7102,train
7105,train
7107,train
7110,train
7115,train
7118,train
7123,train
7124,train
7133,train
7138,train
7142,train
7143,train
7144,train
7149,train
7152,train
7158,train
7160,train
7164,train
7171,train
7175,train
7178,train
7180,train
7184,train
7187,train
7188,train
7189,train
7190,train
7192,train
7197,train
7212,train
7213,train
7214,train
7219,train
7225,train
7229,train
7230,train
7231,train
7234,train
7235,train
7241,train
7242,train
7245,train
7246,train
7251,train
7253,train
7254,train
7255,train
7266,train
7267,train
7270,train
7283,train
7287,train
7294,train
7296,train
7297,train
7303,train
7306,train
7308,train
7314,train
7315,train
7321,train
7323,train
